col1,col2
Comparisons of automatic evaluation metrics for machine translation are usually conducted on corpus level using correlation statistics such as Pearson?s product moment correlation coefficient or Spearman?s rank order correlation coefficient between human scores and automatic scores.,{}
"However, such comparisons rely on human judgments of translation qualities such as adequacy and fluency.",{}
"Unfortunately, these judgments are often inconsistent and very expensive to acquire.",{}
"In this paper, we introduce a new evaluation method, ORANGE, for evaluating automatic machine translation evaluation metrics automatically without extra human involvement other than using a set of reference translations.",{}
We also show the results of comparing several existing automatic metrics and three new automatic metrics using ORANGE.,{}
"To automatically evaluate machine translations, the machine translation community recently adopted an n-gram co-occurrence scoring procedure BLEU (Papineni et al 2001).","{'title': 'Introduction', 'number': '1'}"
"A similar metric, NIST, used by NIST (NIST 2002) in a couple of machine translation evaluations in the past two years is based on BLEU.","{'title': 'Introduction', 'number': '1'}"
The main idea of BLEU is to measure the translation closeness between a candidate translation and a set of reference translations with a numerical metric.,"{'title': 'Introduction', 'number': '1'}"
"Although the idea of using objective functions to automatically evaluate machine translation quality is not new (Su et al 1992), the success of BLEU prompts a lot of interests in developing better automatic evaluation metrics.","{'title': 'Introduction', 'number': '1'}"
"For example, Akiba et al (2001) proposed a metric called RED based on edit distances over a set of multiple references.","{'title': 'Introduction', 'number': '1'}"
"Nie?en et al (2000) calculated the length normalized edit distance, called word error rate (WER), between a candidate and multiple reference translations.","{'title': 'Introduction', 'number': '1'}"
"Leusch et al (2003) proposed a related measure called position independent word error rate (PER) that did not consider word position, i.e. using bag-of-words instead.","{'title': 'Introduction', 'number': '1'}"
"Turian et al (2003) introduced General Text Matcher (GTM) based on accuracy measures such as recall, precision, and F-measure.","{'title': 'Introduction', 'number': '1'}"
"With so many different automatic metrics available, it is necessary to have a common and objective way to evaluate these metrics.","{'title': 'Introduction', 'number': '1'}"
"Comparison of automatic evaluation metrics are usually conducted on corpus level using correlation analysis between human scores and automatic scores such as BLEU, NIST, WER, and PER.","{'title': 'Introduction', 'number': '1'}"
"However, the performance of automatic metrics in terms of human vs. system correlation analysis is not stable across different evaluation settings.","{'title': 'Introduction', 'number': '1'}"
"For example, Table 1 shows the Pearson?s linear correlation coefficient analysis of 8 machine translation systems from 2003 NIST Chinese English machine translation evaluation.","{'title': 'Introduction', 'number': '1'}"
The Pearson?,"{'title': 'Introduction', 'number': '1'}"
correlation coefficients are computed according to different automatic evaluation methods vs. human assigned adequacy and fluency.,"{'title': 'Introduction', 'number': '1'}"
"BLEU1, 4, and 12 are BLEU with maximum n-gram lengths of 1, 4, and 12 respectively.","{'title': 'Introduction', 'number': '1'}"
"GTM10, 20, and 30 are GTM with exponents of 1.0, 2.0, and 3.0 respectively.","{'title': 'Introduction', 'number': '1'}"
95% confidence intervals are estimated using bootstrap resampling (Davison and Hinkley 1997).,"{'title': 'Introduction', 'number': '1'}"
"From the BLEU group, we found that shorter BLEU has better adequacy correlation while longer BLEU has better fluency correlation.","{'title': 'Introduction', 'number': '1'}"
GTM with smaller exponent has better adequacy correlation and GTM with larger exponent has better fluency correlation.,"{'title': 'Introduction', 'number': '1'}"
NIST is very good in adequacy correlation but not as good as GTM30 in fluency correlation.,"{'title': 'Introduction', 'number': '1'}"
"Based on these observations, we are not able to conclude which metric is the best because it depends on the manual evaluation criteria.","{'title': 'Introduction', 'number': '1'}"
This results also indicate that high correlation between human and automatic scores in both adequacy and fluency cannot always been achieved at the same time.,"{'title': 'Introduction', 'number': '1'}"
The best performing metrics in fluency according to Table 1 are BLEU12 and GTM30 (dark/green cells).,"{'title': 'Introduction', 'number': '1'}"
"However, many metrics are statistically equivalent (gray cells) to them when we factor in the 95% confidence intervals.","{'title': 'Introduction', 'number': '1'}"
"For example, even PER is as good as BLEU12 in adequacy.","{'title': 'Introduction', 'number': '1'}"
One reason for this might be due to data sparseness since only 8 systems are available.,"{'title': 'Introduction', 'number': '1'}"
The other potential problem for correlation analysis of human vs. automatic framework is that high corpus-level correlation might not translate to high sentence-level correlation.,"{'title': 'Introduction', 'number': '1'}"
"However, high sentence-level correlation is often an important property that machine translation researchers look for.","{'title': 'Introduction', 'number': '1'}"
"For example, candidate translations shorter than 12 words would have zero BLEU12 score but BLEU12 has the best correlation with human judgment in fluency as shown in Table 1.","{'title': 'Introduction', 'number': '1'}"
"In order to evaluate the ever increasing number of automatic evaluation metrics for machine translation objectively, efficiently, and reliably, we introduce a new evaluation method: ORANGE.","{'title': 'Introduction', 'number': '1'}"
We describe ORANGE in details in Section 2 and briefly introduce three new automatic metrics that will be used in comparisons in Section 3.,"{'title': 'Introduction', 'number': '1'}"
The results of comparing several existing automatic metrics and the three new automatic metrics using ORANGE will be presented in Section 4.,"{'title': 'Introduction', 'number': '1'}"
We conclude this paper and discuss future directions in Section 5.,"{'title': 'Introduction', 'number': '1'}"
Intuitively a good evaluation metric should give higher score to a good translation than a bad one.,"{'title': 'ORANGE. ', 'number': '2'}"
"Therefore, a good translation should be ranked higher than a bad translation based their scores.","{'title': 'ORANGE. ', 'number': '2'}"
One basic assumption of all automatic evaluation metrics for machine translation is that reference translations are good translations and the more a machine translation is similar to its reference translations the better.,"{'title': 'ORANGE. ', 'number': '2'}"
We adopt this assumption and add one more assumption that automatic translations are usually worst than their reference translations.,"{'title': 'ORANGE. ', 'number': '2'}"
"Therefore, reference translations should be ranked higher than machine translations on average if a good automatic evaluation metric is used.","{'title': 'ORANGE. ', 'number': '2'}"
"Based on these assumptions, we propose a new automatic evaluation method for evaluation of automatic machine translation metrics as follows: Given a source sentence, its machine translations, and its reference translations, we compute the average rank of the reference translations within the combined machine and reference translation list.","{'title': 'ORANGE. ', 'number': '2'}"
"For example, a statistical machine translation system such as ISI?s AlTemp SMT system (Och 2003) can generate a list of n-best alternative translations given a source sentence.","{'title': 'ORANGE. ', 'number': '2'}"
We compute the automatic scores for the n-best translations and their reference translations.,"{'title': 'ORANGE. ', 'number': '2'}"
"We then rank these translations, calculate the average rank of the references in the n-best list, and compute the ratio of the average reference rank to the length of the n-best list.","{'title': 'ORANGE. ', 'number': '2'}"
We call this ratio ?ORANGE?,"{'title': 'ORANGE. ', 'number': '2'}"
"(Oracle1 Ranking for Gisting Evaluation) and the smaller the ratio is, the better the automatic metric is. There are several advantages of the proposed ORANGE evaluation method: ? No extra human involvement ? ORANGE uses the existing human references but not human evaluations.","{'title': 'ORANGE. ', 'number': '2'}"
Applicable on sentence-level ? Diagnostic error analysis on sentence-level is naturally provided.,"{'title': 'ORANGE. ', 'number': '2'}"
This is a feature that many machine translation researchers look for.,"{'title': 'ORANGE. ', 'number': '2'}"
Many existing data points ? Every sentence is a data point instead of every system (corpus-level).,"{'title': 'ORANGE. ', 'number': '2'}"
"For example, there are 919 sentences vs. 8 systems in the 2003 NIST Chinese-English machine translation evaluation.","{'title': 'ORANGE. ', 'number': '2'}"
"Only one objective function to optimize ? Minimize a single ORANGE score instead of maximize Pearson?s correlation coefficients between automatic scores and human judgments in adequacy, fluency, or other quality metrics.","{'title': 'ORANGE. ', 'number': '2'}"
A natural fit to the existing statistical machine translation framework ? A metric that ranks a good translation high in an n best list could be easily integrated in a minimal error rate statistical machine translation training framework (Och 2003).,"{'title': 'ORANGE. ', 'number': '2'}"
The overall system performance in terms of 1 Oracles refer to the reference translations used in.,"{'title': 'ORANGE. ', 'number': '2'}"
the evaluation procedure.,"{'title': 'ORANGE. ', 'number': '2'}"
Method Pearson 95%L 95%U Pearson 95%L 95%U BLEU1 0.86 0.83 0.89 0.81 0.75 0.86 BLEU4 0.77 0.72 0.81 0.86 0.81 0.90 BLEU12 0.66 0.60 0.72 0.87 0.76 0.93 NIST 0.89 0.86 0.92 0.81 0.75 0.87 WER 0.47 0.41 0.53 0.69 0.62 0.75 PER 0.67 0.62 0.72 0.79 0.74 0.85 GTM10 0.82 0.79 0.85 0.73 0.66 0.79 GTM20 0.77 0.73 0.81 0.86 0.81 0.90 GTM30 0.74 0.70 0.78 0.87 0.81 0.91 Adequacy Fluency Table 1.,"{'title': 'ORANGE. ', 'number': '2'}"
Pearson's correlation analysis of 8 machine translation systems in 2003 NIST Chinese-English machine translation evaluation.,"{'title': 'ORANGE. ', 'number': '2'}"
generating more human like translations should also be improved.,"{'title': 'ORANGE. ', 'number': '2'}"
"Before we demonstrate how to use ORANGE to evaluate automatic metrics, we briefly introduce three new metrics in the next section.","{'title': 'ORANGE. ', 'number': '2'}"
ROUGE-L and ROUGE-S are described in details in Lin and Och (2004).,"{'title': 'Three New Metrics. ', 'number': '3'}"
"Since these two metrics are relatively new, we provide short summaries of them in Section 3.1 and Section 3.3 respectively.","{'title': 'Three New Metrics. ', 'number': '3'}"
"ROUGE-W, an extension of ROUGE-L, is new and is explained in details in Section 3.2.","{'title': 'Three New Metrics. ', 'number': '3'}"
3.1 ROUGE-L: Longest Common Sub-.,"{'title': 'Three New Metrics. ', 'number': '3'}"
"sequence Given two sequences X and Y, the longest common subsequence (LCS) of X and Y is a common subsequence with maximum length (Cormen et al 1989).","{'title': 'Three New Metrics. ', 'number': '3'}"
"To apply LCS in machine translation evaluation, we view a translation as a sequence of words.","{'title': 'Three New Metrics. ', 'number': '3'}"
"The intuition is that the longer the LCS of two translations is, the more similar the two translations are.","{'title': 'Three New Metrics. ', 'number': '3'}"
"We propose using LCS-based F-measure to estimate the similarity between two translations X of length m and Y of length n, assuming X is a reference translation and Y is a candidate translation, as follows: Rlcs m YXLCS ),( = (1) Plcs n YXLCS ),( = (2) Flcs lcslcs lcslcs PR PR 2 2 )1( ? ?","{'title': 'Three New Metrics. ', 'number': '3'}"
"+ + = (3) Where LCS(X,Y) is the length of a longest common subsequence of X and Y, and ? = Plcs/Rlcs when ?Flcs/?Rlcs_=_?Flcs/?Plcs.","{'title': 'Three New Metrics. ', 'number': '3'}"
"We call the LCS based F-measure, i.e. Equation 3, ROUGE-L.","{'title': 'Three New Metrics. ', 'number': '3'}"
"Notice that ROUGE-L is 1 when X = Y since LCS(X,Y) = m or n; while ROUGE-L is zero when LCS(X,Y) = 0, i.e. there is nothing in common between X and Y. One advantage of using LCS is that it does not require consecutive matches but in-sequence matches that reflect sentence level word order as n grams.","{'title': 'Three New Metrics. ', 'number': '3'}"
"The other advantage is that it automatically includes longest in-sequence common n-grams, therefore no predefined n-gram length is necessary.","{'title': 'Three New Metrics. ', 'number': '3'}"
"By only awarding credit to in-sequence unigram matches, ROUGE-L also captures sentence level structure in a natural way.","{'title': 'Three New Metrics. ', 'number': '3'}"
Consider the following example: S1.,"{'title': 'Three New Metrics. ', 'number': '3'}"
police killed the gunman S2.,"{'title': 'Three New Metrics. ', 'number': '3'}"
police kill the gunman S3.,"{'title': 'Three New Metrics. ', 'number': '3'}"
"the gunman kill police Using S1 as the reference translation, S2 has a ROUGE-L score of 3/4 = 0.75 and S3 has a ROUGE L score of 2/4 = 0.5, with ? = 1.","{'title': 'Three New Metrics. ', 'number': '3'}"
Therefore S2 is better than S3 according to ROUGE-L.,"{'title': 'Three New Metrics. ', 'number': '3'}"
This example illustrated that ROUGE-L can work reliably at sentence level.,"{'title': 'Three New Metrics. ', 'number': '3'}"
"However, LCS suffers one disadvantage: it only counts the main in sequence words; therefore, other alternative LCSes and shorter sequences are not reflected in the final score.","{'title': 'Three New Metrics. ', 'number': '3'}"
"In the next section, we introduce ROUGE-W.","{'title': 'Three New Metrics. ', 'number': '3'}"
3.2 ROUGE-W: Weighted Longest Common.,"{'title': 'Three New Metrics. ', 'number': '3'}"
