col1,col2
Linguistically annotated corpus based on texts in biomedical domain has been constructed to tune natural language processing (NLP) tools for bio textmining.,{}
"As the focus of information extraction is shifting from ""nominal"" information such as named entity to ""verbal"" information such as function and interaction of substances, applica tion of parsers has become one of the key technologies and thus the corpus annotated for syntactic structure of sen tences is in demand.",{}
A subset of the GENIA corpus consisting of 500 MEDLINE abstracts has been annotated for syntactic structure in an XML based format based on Penn Treebank II (PTB) scheme.,{}
"Inter-annotator agreement test indicated that the writ ing style rather than the contents of the research abstracts is the source of the difficulty in tree annotation, and that annotation can be stably done by linguists without much knowledge of bi ology with appropriate guidelines regarding to linguistic phenomena par ticular to scientific texts.",{}
Research and development for information extraction from biomedical literature (bio textmining) has been rapidly advancing due to demands caused by information overload in the genome-related field.,"{'title': 'Introduction', 'number': '1'}"
Natural language process ing (NLP) techniques have been regarded as useful for this purpose.,"{'title': 'Introduction', 'number': '1'}"
Now that focus of in formation extraction is shifting from extraction of ?nominal?,"{'title': 'Introduction', 'number': '1'}"
information such as named entity to ?verbal?,"{'title': 'Introduction', 'number': '1'}"
"information such as relations of enti ties including events and functions, syntactic analysis is an important issue of NLP application in biomedical domain.","{'title': 'Introduction', 'number': '1'}"
"In extraction of rela tion, the roles of entities participating in the relation must be identified along with the verb that represents the relation itself.","{'title': 'Introduction', 'number': '1'}"
"In text analysis, this corresponds to identifying the subjects, ob jects, and other arguments of the verb.","{'title': 'Introduction', 'number': '1'}"
"Though rule-based relation information ex traction systems using surface pattern matching and/or shallow parsing can achieve high precision (e.g. Koike et al, 2004) in a particular target domain, they tend to suffer from low recall due to the wide variation of the surface ex pression that describe a relation between a verb and its arguments.","{'title': 'Introduction', 'number': '1'}"
"In addition, the portability of such systems is low because the system has to be re-equipped with different set of rules when different kind of relation is to be extracted.","{'title': 'Introduction', 'number': '1'}"
"One solution to this problem is using deep parsers which can abstract the syntactic variation of a relation between a verb and its arguments repre sented in the text, and constructing extraction rule on the abstract predicate-argument structure.","{'title': 'Introduction', 'number': '1'}"
"To do so, wide-coverage and high-precision parsers are required.","{'title': 'Introduction', 'number': '1'}"
"While basic NLP techniques are relatively general and portable from domain to domain, customization and tuning are inevitable, especially in order to apply the techniques effec tively to highly specialized literatures such as research papers and abstracts.","{'title': 'Introduction', 'number': '1'}"
"As recent advances in NLP technology depend on machine learning techniques, annotated corpora from which system can acquire rules (including grammar rules, lexicon, etc.) are indispensable 220 resources for customizing general-purpose NLP tools.","{'title': 'Introduction', 'number': '1'}"
"In bio-textmining, for example, training on part-of-speech (POS)-annotated GENIA cor pus was reported to improve the accuracy of JunK tagger (English POS tagger) (Kazama et al., 2001) from 83.5% to 98.1% on MEDLINE abstracts (Tateisi and Tsujii, 2004), and the FraMed corpus (Wermter and Hahn, 2004) was used to train TnT tagger on German (Brants, 2000) to improve its accuracy from 95.7% to 98% on clinical reports and other biomedical texts.","{'title': 'Introduction', 'number': '1'}"
"Corpus annotated for syntactic structures is expected to play a similar role in tuning parsers to biomedical domain, i.e., similar improve ment on the performance of parsers is expected by using domain-specific treebank as a resource for learning.","{'title': 'Introduction', 'number': '1'}"
"For this purpose, we construct GENA Treebank (GTB), a treebank on research abstracts in biomedical domain.","{'title': 'Introduction', 'number': '1'}"
"The base text of GTB is that of the GENIA cor pus constructed at University of Tokyo (Kim et al., 2003), which is a collection of research ab stracts selected from the search results of MEDLINE database with keywords (MeSH terms) human, blood cells and transcription factors.","{'title': 'Outline of the Corpus. ', 'number': '2'}"
"In the GENIA corpus, the abstracts are en coded in an XML scheme where each abstract is numbered with MEDLINE UID and contains title and abstract.","{'title': 'Outline of the Corpus. ', 'number': '2'}"
The text of title and abstract is segmented into sentences in which biological terms are annotated with their semantic classes.,"{'title': 'Outline of the Corpus. ', 'number': '2'}"
"The GENIA corpus is also annotated for part-of speech (POS) (Tateisi and Tsujii, 2004), and coreference is also annotated in a part of the GENIA corpus by MedCo project at Institute for Infocomm Research, Singapore (Yang et al 2004).","{'title': 'Outline of the Corpus. ', 'number': '2'}"
GTB is the addition of syntactic information to the GENIA corpus.,"{'title': 'Outline of the Corpus. ', 'number': '2'}"
